districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,192,3492,5.498281786941581,554,19310,2.8689798032107716,48.2994031618027,1873.8301855182842,2.5775763212205662
Ciutat_Vella,37,517,7.156673114119923,84,1447,5.80511402902557,8.521221037175858,109.24794119097878,7.799891644895824
Eixample,42,140,30.0,156,2159,7.225567392311255,14.707444734205733,207.55438362316366,7.086067987322596
Sants_Montjuic,9,490,1.8367346938775513,31,2907,1.0663914688682492,2.7531703171847224,284.6973812855034,0.9670515073771464
Les_Corts,8,231,3.463203463203463,25,1227,2.037489812550937,3.2815736357896625,117.14190588320041,2.8013660961446596
Sarria_Sant_Gervasi,36,548,6.569343065693431,115,2654,4.3330821401657875,9.654069002584004,286.6812608650586,3.367527048490341
Gracia,98,337,29.080118694362017,271,1288,21.040372670807454,19.768861436532205,108.13260029331913,18.282054979633745
Horta_Guinardo,6,444,1.3513513513513513,30,2233,1.3434841021047919,2.571898475526886,228.96481789601998,1.1232723433933263
Nou_Barris,7,336,2.083333333333333,17,1603,1.0605115408608858,1.3874802789304848,162.43614420741625,0.8541696712271118
Sant_Andreu,3,308,0.974025974025974,5,1543,0.32404406999351915,0.3681933803852687,142.16588776340268,0.25898855638142165
Sant_Marti,17,342,4.970760233918129,37,2505,1.4770459081836327,4.017653589067498,242.12624872171415,1.6593217836886227
