districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1243,3695,33.640054127198916,5591,28583,19.5605779659238,477.479770525441,1979.0021367957695,24.127299392335942
Ciutat_Vella,254,566,44.87632508833922,579,2374,24.38921651221567,42.964730867472426,121.06695157036005,35.4884056385138
Eixample,136,156,87.17948717948718,1512,4010,37.70573566084788,129.2606910606451,224.64177560734953,57.54080723016513
Sants_Montjuic,88,512,17.1875,327,4154,7.871930669234473,23.80360460327344,300.1012632172371,7.93185751638856
Les_Corts,97,241,40.24896265560166,409,1814,22.54685777287762,35.832552297007275,124.02458958115528,28.891490323022033
Sarria_Sant_Gervasi,189,578,32.69896193771626,810,3548,22.829763246899663,61.18324198114095,297.3283400630804,20.57766910754638
Gracia,292,357,81.79271708683473,1160,1671,69.4195092758827,86.50046273222337,112.35069972633644,76.99147663781444
Horta_Guinardo,112,476,23.52941176470588,417,3010,13.853820598006644,36.44503665986526,238.89499886961826,15.255671668437007
Nou_Barris,46,356,12.921348314606742,185,2164,8.548983364140481,22.15025871058726,169.63296802504587,13.05775579386009
Sant_Andreu,84,325,25.846153846153847,285,2232,12.768817204301076,27.541970110687593,150.1099557177492,18.34786372362576
Sant_Marti,140,355,39.436619718309856,661,3932,16.810783316378433,63.234908731593706,257.00163872662773,24.604865963075273
