districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,301,3492,8.619702176403207,1009,19310,5.225271879854997,92.6631206842375,1873.8301855182842,4.9451183677355335
Ciutat_Vella,70,517,13.539651837524177,143,1447,9.882515549412577,13.383757517431054,109.24794119097878,12.250809829024243
Eixample,74,140,52.85714285714286,362,2159,16.767021769337656,35.413534121076594,207.55438362316366,17.062291580106308
Sants_Montjuic,36,490,7.346938775510205,137,2907,4.712762297901617,12.833740115056862,284.6973812855034,4.507853235989828
Les_Corts,22,231,9.523809523809524,81,1227,6.601466992665037,9.19903237005801,117.14190588320041,7.852896280542132
Sarria_Sant_Gervasi,41,548,7.481751824817519,147,2654,5.538809344385832,12.832267864616094,286.6812608650586,4.476144630414566
Gracia,117,337,34.718100890207715,320,1288,24.84472049689441,23.882154050885426,108.13260029331913,22.08598885636986
Horta_Guinardo,9,444,2.027027027027027,34,2233,1.522615315718764,3.125372900451644,228.96481789601998,1.365001369717409
Nou_Barris,7,336,2.083333333333333,17,1603,1.0605115408608858,1.3874802789304848,162.43614420741625,0.8541696712271118
Sant_Andreu,4,308,1.2987012987012987,7,1543,0.45366169799092676,0.54038999998921,142.16588776340268,0.38011228184959917
Sant_Marti,26,342,7.602339181286549,77,2505,3.0738522954091816,8.125986640288483,242.12624872171415,3.3560948815706553
