districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1271,3695,34.3978349120433,5747,28583,20.106356925445194,488.7649706962272,1979.0021367957695,24.697546385048046
Ciutat_Vella,254,566,44.87632508833922,579,2374,24.38921651221567,42.964730867472426,121.06695157036005,35.4884056385138
Eixample,136,156,87.17948717948718,1515,4010,37.78054862842893,129.49560699986375,224.64177560734953,57.645380806733215
Sants_Montjuic,88,512,17.1875,327,4154,7.871930669234473,23.80360460327344,300.1012632172371,7.93185751638856
Les_Corts,97,241,40.24896265560166,409,1814,22.54685777287762,35.832552297007275,124.02458958115528,28.891490323022033
Sarria_Sant_Gervasi,189,578,32.69896193771626,810,3548,22.829763246899663,61.18324198114095,297.3283400630804,20.57766910754638
Gracia,292,357,81.79271708683473,1171,1671,70.07779772591263,87.19905935560932,112.35069972633644,77.61327661332646
Horta_Guinardo,114,476,23.949579831932773,437,3010,14.51827242524917,37.79459801995046,238.89499886961826,15.82058988207519
Nou_Barris,48,356,13.48314606741573,197,2164,9.10351201478743,23.05083058959872,169.63296802504587,13.588650165099587
Sant_Andreu,109,325,33.53846153846154,385,2232,17.24910394265233,34.57540796640563,150.1099557177492,23.03338762647932
Sant_Marti,142,355,40.0,677,3932,17.2177009155646,64.3020267408368,257.00163872662773,25.02008433075976
