districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,687,3695,18.59269282814614,3453,28583,12.080607354021621,285.8680890440599,1979.0021367957695,14.445062171934437
Ciutat_Vella,84,566,14.840989399293287,193,2374,8.129738837405224,15.337134725200508,121.06695157036005,12.668308342006185
Eixample,115,156,73.71794871794873,1152,4010,28.728179551122196,100.31860455455676,224.64177560734953,44.6571454856657
Sants_Montjuic,87,512,16.9921875,321,4154,7.727491574386133,23.69055463620716,300.1012632172371,7.894186909522623
Les_Corts,63,241,26.141078838174277,288,1814,15.87651598676957,25.885202615505765,124.02458958115528,20.871024611266968
Sarria_Sant_Gervasi,141,578,24.39446366782007,658,3548,18.5456595264938,47.66316043624975,297.3283400630804,16.030480117077857
Gracia,198,357,55.46218487394958,781,1671,46.73847995212448,52.8837453282383,112.35069972633644,47.070241179674355
Horta_Guinardo,39,476,8.193277310924369,120,3010,3.9867109634551494,9.968168753625227,238.89499886961826,4.172615082271167
Nou_Barris,5,356,1.4044943820224718,23,2164,1.0628465804066543,1.3635373655902923,169.63296802504587,0.8038162519145273
Sant_Andreu,19,325,5.846153846153846,55,2232,2.46415770609319,4.9560799556801385,150.1099557177492,3.3016330808857375
Sant_Marti,90,355,25.352112676056336,432,3932,10.986775178026448,42.6271400799292,257.00163872662773,16.5863300682186
