districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1372,3645,37.64060356652949,6247,28583,21.85564846237274,527.3194498534233,1979.0021367957695,26.64572412777753
Ciutat_Vella,284,561,50.623885918003566,671,2374,28.26453243470935,49.09320540065142,121.06695157036005,40.55045969512175
Eixample,144,151,95.36423841059603,1731,4010,43.16708229426434,146.97017606629123,224.64177560734953,65.42424073569461
Sants_Montjuic,113,504,22.42063492063492,387,4154,9.316321617717863,28.623862575248378,300.1012632172371,9.53806800690744
Les_Corts,102,237,43.037974683544306,426,1814,23.48401323042999,36.76868295431689,124.02458958115528,29.646284723447813
Sarria_Sant_Gervasi,190,572,33.21678321678322,826,3548,23.280721533258173,62.5587266499644,297.3283400630804,21.04028382786925
Gracia,292,354,82.48587570621469,1173,1671,70.19748653500898,87.2317706653832,112.35069972633644,77.64239197251297
Horta_Guinardo,114,475,24.0,437,3010,14.51827242524917,37.79459801995046,238.89499886961826,15.82058988207519
Nou_Barris,48,347,13.8328530259366,197,2164,9.10351201478743,23.05083058959872,169.63296802504587,13.588650165099587
Sant_Andreu,109,322,33.85093167701863,385,2232,17.24910394265233,34.57540796640563,150.1099557177492,23.03338762647932
Sant_Marti,175,348,50.287356321839084,793,3932,20.167853509664294,72.67492557189028,257.00163872662773,28.278000845432157
