districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1386,3492,39.69072164948454,5708,19310,29.55981356809943,544.8552904518149,1873.8301855182842,29.07709005131182
Ciutat_Vella,280,517,54.15860735009671,577,1447,39.87560469937802,50.3314574632618,109.24794119097878,46.0708521502261
Eixample,137,140,97.85714285714285,1510,2159,69.9397869383974,149.97926239857816,207.55438362316366,72.26022393768417
Sants_Montjuic,115,490,23.46938775510204,331,2907,11.386308909528724,30.384967341767098,284.6973812855034,10.672724562680857
Les_Corts,103,231,44.58874458874459,396,1227,32.27383863080684,38.56623079215282,117.14190588320041,32.92265948840405
Sarria_Sant_Gervasi,189,548,34.48905109489051,713,2654,26.865109269027883,62.625496110744926,286.6812608650586,21.84499116606818
Gracia,313,337,92.87833827893175,1113,1288,86.41304347826086,93.11396152597487,108.13260029331913,86.11090575219232
Horta_Guinardo,122,444,27.47747747747748,397,2233,17.778772951186745,40.66977008917811,228.96481789601998,17.762453840243488
Nou_Barris,48,336,14.285714285714285,179,1603,11.166562694946974,23.282605639828137,162.43614420741625,14.33338974735719
Sant_Andreu,110,308,35.714285714285715,344,1543,22.294232015554115,34.89003615227457,142.16588776340268,24.541777708545496
Sant_Marti,175,342,51.16959064327485,688,2505,27.46506986027944,73.55130703078586,242.12624872171415,30.37725460130573
