districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1478,3492,42.325315005727376,6103,19310,31.605385810460902,585.4567081181997,1873.8301855182842,31.243850837863825
Ciutat_Vella,300,517,58.027079303675045,614,1447,42.4326192121631,53.3337715714558,109.24794119097878,48.8190175393986
Eixample,138,140,98.57142857142858,1619,2159,74.98842056507642,161.0190088621481,207.55438362316366,77.57918963277339
Sants_Montjuic,137,490,27.95918367346939,407,2907,14.000687994496044,38.88671915176351,284.6973812855034,13.65896622447914
Les_Corts,103,231,44.58874458874459,396,1227,32.27383863080684,38.56623079215282,117.14190588320041,32.92265948840405
Sarria_Sant_Gervasi,192,548,35.03649635036496,721,2654,27.166541070082893,63.57840808042395,286.6812608650586,22.177385396093406
Gracia,321,337,95.25222551928783,1164,1288,90.37267080745342,98.51842977002343,108.13260029331913,91.108906567292
Horta_Guinardo,148,444,33.33333333333333,458,2233,20.51052395879982,46.835436503918395,228.96481789601998,20.455298300539702
Nou_Barris,48,336,14.285714285714285,179,1603,11.166562694946974,23.282605639828137,162.43614420741625,14.33338974735719
Sant_Andreu,110,308,35.714285714285715,344,1543,22.294232015554115,34.89003615227457,142.16588776340268,24.541777708545496
Sant_Marti,184,342,53.80116959064327,753,2505,30.059880239520957,79.99493890284222,242.12624872171415,33.03852404486048
