districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,871,3492,24.942726231386025,3902,19310,20.207146556188505,376.2361775436783,1873.8301855182842,20.07845643918981
Ciutat_Vella,132,517,25.53191489361702,295,1447,20.38700760193504,30.081359430438322,109.24794119097878,27.534944002150507
Eixample,117,140,83.57142857142857,1094,2159,50.67160722556739,110.95044914129532,207.55438362316366,53.45608567956689
Sants_Montjuic,90,490,18.367346938775512,273,2907,9.39112487100103,25.306346826085225,284.6973812855034,8.888858306956898
Les_Corts,87,231,37.66233766233766,321,1227,26.161369193154034,33.14340483876541,117.14190588320041,28.293380228773096
Sarria_Sant_Gervasi,163,548,29.744525547445257,644,2654,24.265259984928413,54.0028024032421,286.6812608650586,18.837227881686104
Gracia,227,337,67.35905044510386,843,1288,65.45031055900621,66.00389513849723,108.13260029331913,61.039774276634326
Horta_Guinardo,65,444,14.63963963963964,216,2233,9.6730855351545,21.083531128224234,228.96481789601998,9.208196840878374
Nou_Barris,34,336,10.119047619047619,122,1603,7.610729881472239,18.297904515411084,162.43614420741625,11.264675485060959
Sant_Andreu,37,308,12.012987012987013,133,1543,8.619572261827608,16.03896625822198,142.16588776340268,11.281866916566212
Sant_Marti,115,342,33.62573099415205,467,2505,18.642714570858285,52.39667697714081,242.12624872171415,21.64022994357894
