districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,739,3492,21.162657502863688,3365,19310,17.426204039357845,328.82384291795773,1873.8301855182842,17.548219975280634
Ciutat_Vella,105,517,20.309477756286267,246,1447,17.000691085003456,26.830688782636795,109.24794119097878,24.559445688531067
Eixample,109,140,77.85714285714286,1036,2159,47.98517832329782,105.53909643030372,207.55438362316366,50.84888817473535
Sants_Montjuic,90,490,18.367346938775512,273,2907,9.39112487100103,25.306346826085225,284.6973812855034,8.888858306956898
Les_Corts,59,231,25.541125541125542,240,1227,19.559902200489,25.42775547409657,117.14190588320041,21.706796796912304
Sarria_Sant_Gervasi,141,548,25.72992700729927,565,2654,21.28862094951017,47.79558563194955,286.6812608650586,16.672029935869094
Gracia,207,337,61.42433234421365,732,1288,56.83229813664597,56.43212173262392,108.13260029331913,52.18788929476111
Horta_Guinardo,55,444,12.387387387387387,161,2233,7.210031347962382,16.51170671074728,228.96481789601998,7.211460198328705
Nou_Barris,24,336,7.142857142857142,78,1603,4.865876481597006,14.040753252617929,162.43614420741625,8.643860220351671
Sant_Andreu,28,308,9.090909090909092,81,1543,5.24951393389501,11.022223176884228,142.16588776340268,7.753071675835336
Sant_Marti,109,342,31.871345029239766,453,2505,18.08383233532934,50.98006514575247,242.12624872171415,21.055158379109074
