districts,mapped passatges,total passatges,percentage passatges
Barcelona,80,350,22.857142857142858
Ciutat_Vella,7,28,25.0
Eixample,29,40,72.5
Sants_Montjuic,1,22,4.545454545454546
Les_Corts,0,18,0.0
Sarria_Sant_Gervasi,6,36,16.666666666666664
Gracia,18,27,66.66666666666666
Horta_Guinardo,5,67,7.462686567164178
Nou_Barris,0,18,0.0
Sant_Andreu,3,20,15.0
Sant_Marti,12,74,16.216216216216218
