districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1482,3492,42.439862542955325,6136,19310,31.77628171931642,588.8905234940984,1873.8301855182842,31.42710198849831
Ciutat_Vella,300,517,58.027079303675045,614,1447,42.4326192121631,53.3337715714558,109.24794119097878,48.8190175393986
Eixample,138,140,98.57142857142858,1621,2159,75.08105604446503,161.22115719250476,207.55438362316366,77.67658498854853
Sants_Montjuic,140,490,28.57142857142857,435,2907,14.963880288957688,41.98850778890535,284.6973812855034,14.748469971628564
Les_Corts,103,231,44.58874458874459,396,1227,32.27383863080684,38.56623079215282,117.14190588320041,32.92265948840405
Sarria_Sant_Gervasi,192,548,35.03649635036496,721,2654,27.166541070082893,63.57840808042395,286.6812608650586,22.177385396093406
Gracia,322,337,95.54896142433235,1167,1288,90.6055900621118,98.64830817842352,108.13260029331913,91.229016883744
Horta_Guinardo,148,444,33.33333333333333,458,2233,20.51052395879982,46.835436503918395,228.96481789601998,20.455298300539702
Nou_Barris,48,336,14.285714285714285,179,1603,11.166562694946974,23.282605639828137,162.43614420741625,14.33338974735719
Sant_Andreu,110,308,35.714285714285715,344,1543,22.294232015554115,34.89003615227457,142.16588776340268,24.541777708545496
Sant_Marti,184,342,53.80116959064327,753,2505,30.059880239520957,79.99493890284222,242.12624872171415,33.03852404486048
