districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1310,3695,35.453315290933695,5929,28583,20.74309904488682,502.8884034661419,1979.0021367957695,25.411210736759266
Ciutat_Vella,254,566,44.87632508833922,579,2374,24.38921651221567,42.964730867472426,121.06695157036005,35.4884056385138
Eixample,138,156,88.46153846153845,1554,4010,38.753117206982544,132.7000443305205,224.64177560734953,59.07184626356693
Sants_Montjuic,88,512,17.1875,327,4154,7.871930669234473,23.80360460327344,300.1012632172371,7.93185751638856
Les_Corts,102,241,42.32365145228216,426,1814,23.48401323042999,36.76868295431689,124.02458958115528,29.646284723447813
Sarria_Sant_Gervasi,190,578,32.8719723183391,819,3548,23.083427282976324,62.40039981358833,297.3283400630804,20.987033997616784
Gracia,292,357,81.79271708683473,1173,1671,70.19748653500898,87.2317706653832,112.35069972633644,77.64239197251297
Horta_Guinardo,114,476,23.949579831932773,437,3010,14.51827242524917,37.79459801995046,238.89499886961826,15.82058988207519
Nou_Barris,48,356,13.48314606741573,197,2164,9.10351201478743,23.05083058959872,169.63296802504587,13.588650165099587
Sant_Andreu,109,325,33.53846153846154,385,2232,17.24910394265233,34.57540796640563,150.1099557177492,23.03338762647932
Sant_Marti,175,355,49.29577464788733,793,3932,20.167853509664294,72.67492557189028,257.00163872662773,28.278000845432157
