districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,678,3695,18.34912043301759,3362,28583,11.762236294300807,277.4259506711412,1979.0021367957695,14.018476560127697
Ciutat_Vella,84,566,14.840989399293287,193,2374,8.129738837405224,15.337134725200508,121.06695157036005,12.668308342006185
Eixample,113,156,72.43589743589743,1110,4010,27.680798004987533,95.54431771486281,224.64177560734953,42.531856533160756
Sants_Montjuic,82,512,16.015625,300,4154,7.221954742416948,22.198322653517785,300.1012632172371,7.396944089985012
Les_Corts,60,241,24.896265560165975,274,1814,15.104740904079383,24.831196250078044,124.02458958115528,20.021188003069177
Sarria_Sant_Gervasi,140,578,24.22145328719723,652,3548,18.376550169109358,47.24950278735432,297.3283400630804,15.891355253027676
Gracia,198,357,55.46218487394958,774,1671,46.319569120287255,52.377585398618166,112.35069972633644,46.61972335392602
Horta_Guinardo,39,476,8.193277310924369,120,3010,3.9867109634551494,9.968168753625227,238.89499886961826,4.172615082271167
Nou_Barris,5,356,1.4044943820224718,23,2164,1.0628465804066543,1.3635373655902923,169.63296802504587,0.8038162519145273
Sant_Andreu,19,325,5.846153846153846,55,2232,2.46415770609319,4.9560799556801385,150.1099557177492,3.3016330808857375
Sant_Marti,90,355,25.352112676056336,432,3932,10.986775178026448,42.6271400799292,257.00163872662773,16.5863300682186
