districts,mapped passatges,total passatges,percentage passatges
Barcelona,103,350,29.428571428571427
Ciutat_Vella,9,28,32.142857142857146
Eixample,35,40,87.5
Sants_Montjuic,3,22,13.636363636363635
Les_Corts,0,18,0.0
Sarria_Sant_Gervasi,6,36,16.666666666666664
Gracia,20,27,74.07407407407408
Horta_Guinardo,9,67,13.432835820895523
Nou_Barris,1,18,5.555555555555555
Sant_Andreu,4,20,20.0
Sant_Marti,18,74,24.324324324324326
