districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1344,3583,37.51046608986883,5473,19310,28.342827550491972,524.2696098826774,1873.8301855182842,27.978501677176755
Ciutat_Vella,273,534,51.12359550561798,558,1447,38.56254319281271,49.13476398283307,109.24794119097878,44.97545990083189
Eixample,135,142,95.07042253521126,1432,2159,66.32700324224177,142.74118983483194,207.55438362316366,68.77291018530993
Sants_Montjuic,115,499,23.04609218436874,331,2907,11.386308909528724,30.384967341767098,284.6973812855034,10.672724562680857
Les_Corts,99,235,42.12765957446808,366,1227,29.82885085574572,36.8629703833253,117.14190588320041,31.46864489304156
Sarria_Sant_Gervasi,190,564,33.687943262411345,701,2654,26.412961567445365,61.932354843294,286.6812608650586,21.60321000975563
Gracia,292,347,84.14985590778097,1039,1288,80.66770186335404,85.82822325820156,108.13260029331913,79.37312431716708
Horta_Guinardo,115,464,24.78448275862069,377,2233,16.883116883116884,38.19152059703022,228.96481789601998,16.68008253319258
Nou_Barris,49,344,14.244186046511627,179,1603,11.166562694946974,23.282605639828137,162.43614420741625,14.33338974735719
Sant_Andreu,111,314,35.35031847133758,344,1543,22.294232015554115,34.89003615227457,142.16588776340268,24.541777708545496
Sant_Marti,175,345,50.72463768115942,688,2505,27.46506986027944,73.55130703078586,242.12624872171415,30.37725460130573
