districts,mapped passatges,total passatges,percentage passatges
Barcelona,68,350,19.428571428571427
Ciutat_Vella,5,28,17.857142857142858
Eixample,13,40,32.5
Sants_Montjuic,2,22,9.090909090909092
Les_Corts,0,18,0.0
Sarria_Sant_Gervasi,3,36,8.333333333333332
Gracia,9,27,33.33333333333333
Horta_Guinardo,27,67,40.298507462686565
Nou_Barris,7,18,38.88888888888889
Sant_Andreu,0,20,0.0
Sant_Marti,4,74,5.405405405405405
