districts,mapped passatges,total passatges,percentage passatges
Barcelona,84,350,24.0
Ciutat_Vella,5,28,17.857142857142858
Eixample,13,40,32.5
Sants_Montjuic,2,22,9.090909090909092
Les_Corts,0,18,0.0
Sarria_Sant_Gervasi,4,36,11.11111111111111
Gracia,14,27,51.85185185185185
Horta_Guinardo,36,67,53.73134328358209
Nou_Barris,7,18,38.88888888888889
Sant_Andreu,1,20,5.0
Sant_Marti,4,74,5.405405405405405
