districts,mapped passatges,total passatges,percentage passatges
Barcelona,173,350,49.42857142857143
Ciutat_Vella,11,28,39.285714285714285
Eixample,40,40,100.0
Sants_Montjuic,11,22,50.0
Les_Corts,3,18,16.666666666666664
Sarria_Sant_Gervasi,9,36,25.0
Gracia,27,27,100.0
Horta_Guinardo,31,67,46.26865671641791
Nou_Barris,2,18,11.11111111111111
Sant_Andreu,6,20,30.0
Sant_Marti,35,74,47.2972972972973
