districts,mapped passatges,total passatges,percentage passatges
Barcelona,189,350,54.0
Ciutat_Vella,14,28,50.0
Eixample,40,40,100.0
Sants_Montjuic,11,22,50.0
Les_Corts,3,18,16.666666666666664
Sarria_Sant_Gervasi,11,36,30.555555555555557
Gracia,27,27,100.0
Horta_Guinardo,32,67,47.76119402985074
Nou_Barris,2,18,11.11111111111111
Sant_Andreu,6,20,30.0
Sant_Marti,45,74,60.810810810810814
