districts,mapped passatges,total passatges,percentage passatges
Barcelona,139,350,39.714285714285715
Ciutat_Vella,10,28,35.714285714285715
Eixample,38,40,95.0
Sants_Montjuic,7,22,31.818181818181817
Les_Corts,3,18,16.666666666666664
Sarria_Sant_Gervasi,9,36,25.0
Gracia,26,27,96.29629629629629
Horta_Guinardo,15,67,22.388059701492537
Nou_Barris,2,18,11.11111111111111
Sant_Andreu,6,20,30.0
Sant_Marti,25,74,33.78378378378378
