districts,mapped passatges,total passatges,percentage passatges
Barcelona,134,350,38.285714285714285
Ciutat_Vella,10,28,35.714285714285715
Eixample,38,40,95.0
Sants_Montjuic,6,22,27.27272727272727
Les_Corts,1,18,5.555555555555555
Sarria_Sant_Gervasi,9,36,25.0
Gracia,23,27,85.18518518518519
Horta_Guinardo,15,67,22.388059701492537
Nou_Barris,2,18,11.11111111111111
Sant_Andreu,6,20,30.0
Sant_Marti,25,74,33.78378378378378
