districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1119,3492,32.044673539518904,4496,19310,23.283272915587776,430.49587751728956,1873.8301855182842,22.974113708079603
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,103,140,73.57142857142858,1077,2159,49.884205650764244,107.5077625534198,207.55438362316366,51.797394339119904
Sants_Montjuic,108,490,22.040816326530614,338,2907,11.627106983144134,30.408726810236143,284.6973812855034,10.68107007972136
Les_Corts,23,231,9.956709956709958,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,124,548,22.62773722627737,363,2654,13.677467972871138,34.20779573113186,286.6812608650586,11.93234452363928
Gracia,257,337,76.26112759643917,909,1288,70.57453416149069,75.57679519177773,108.13260029331913,69.89270117131103
Horta_Guinardo,263,444,59.23423423423423,914,2233,40.93148231079265,89.02904837673245,228.96481789601998,38.88328748269234
Nou_Barris,98,336,29.166666666666668,327,1603,20.399251403618216,31.972415183040756,162.43614420741625,19.683067053238396
Sant_Andreu,89,308,28.8961038961039,328,1543,21.257290991574855,31.495460585255334,142.16588776340268,22.15402096856818
Sant_Marti,97,342,28.362573099415204,427,2505,17.045908183632736,45.874077167796464,242.12624872171415,18.94634613553257
