districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,721,3492,20.647193585337913,2712,19310,14.044536509580526,263.01525099017624,1873.8301855182842,14.036237276081057
Ciutat_Vella,127,517,24.564796905222437,250,1447,17.277125086385624,23.307912727982345,109.24794119097878,21.334875947215572
Eixample,85,140,60.71428571428571,676,2159,31.310792033348772,68.36708423609083,207.55438362316366,32.93935933447607
Sants_Montjuic,59,490,12.040816326530612,208,2907,7.15514275885793,20.109159616021184,284.6973812855034,7.0633454811637675
Les_Corts,22,231,9.523809523809524,84,1227,6.845965770171149,9.56174397499923,117.14190588320041,8.162530652807572
Sarria_Sant_Gervasi,86,548,15.693430656934307,247,2654,9.306706857573474,23.04125631937434,286.6812608650586,8.037238377509405
Gracia,210,337,62.31454005934718,710,1288,55.12422360248447,58.27053929335642,108.13260029331913,53.888040364600954
Horta_Guinardo,148,444,33.33333333333333,479,2233,21.450962830273177,45.693379257308315,228.96481789601998,19.956506714520263
Nou_Barris,42,336,12.5,120,1603,7.485963817841547,11.016721991125632,162.43614420741625,6.782186344597219
Sant_Andreu,44,308,14.285714285714285,161,1543,10.434219053791317,16.978239471138497,142.16588776340268,11.942555094084357
Sant_Marti,75,342,21.929824561403507,328,2505,13.0938123752495,37.36903187199164,242.12624872171415,15.433697118457172
