districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,624,3695,16.887686062246278,2626,28583,9.187279151943462,225.04751448487457,1979.0021367957695,11.371767129531866
Ciutat_Vella,110,566,19.434628975265017,291,2374,12.257792754844145,21.82790741230159,121.06695157036005,18.029616777470395
Eixample,82,156,52.56410256410257,696,4010,17.356608478802993,59.76199733452524,224.64177560734953,26.603242951116535
Sants_Montjuic,48,512,9.375,226,4154,5.440539239287434,18.501419508801785,300.1012632172371,6.1650588572861125
Les_Corts,23,241,9.54356846473029,101,1814,5.567805953693495,9.515444132470764,124.02458958115528,7.672223842550471
Sarria_Sant_Gervasi,73,578,12.629757785467127,234,3548,6.595264937993235,19.65117298360939,297.3283400630804,6.609249888335651
Gracia,176,357,49.299719887955185,622,1671,37.22321962896469,44.82263254697475,112.35069972633644,39.89528561562465
Horta_Guinardo,130,476,27.310924369747898,473,3010,15.714285714285714,39.16576858487549,238.89499886961826,16.394553578013994
Nou_Barris,38,356,10.674157303370785,131,2164,6.053604436229206,10.756260761209829,169.63296802504587,6.34090229419419
Sant_Andreu,43,325,13.230769230769232,179,2232,8.019713261648745,15.861011579391212,150.1099557177492,10.566262246599136
Sant_Marti,76,355,21.408450704225352,382,3932,9.715157680569684,35.56021507289758,257.00163872662773,13.836571334365274
