districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1030,3573,28.827315980968375,3881,19310,20.098394614189537,361.8250866307236,1873.8301855182842,19.309385099410495
Ciutat_Vella,248,549,45.173041894353375,500,1447,34.55425017277125,39.31853083859338,109.24794119097878,35.9901801443194
Eixample,108,149,72.48322147651007,977,2159,45.252431681333945,93.65622004620143,207.55438362316366,45.12370127351487
Sants_Montjuic,59,498,11.847389558232932,243,2907,8.359133126934983,20.77426262107953,284.6973812855034,7.296963016405988
Les_Corts,46,234,19.65811965811966,143,1227,11.65444172779136,14.448476847555323,117.14190588320041,12.334165761278955
Sarria_Sant_Gervasi,121,558,21.68458781362007,349,2654,13.14996232102487,32.91062277241752,286.6812608650586,11.479865364450385
Gracia,234,347,67.43515850144092,831,1288,64.51863354037268,66.31942598161811,108.13260029331913,61.33157419845715
Horta_Guinardo,200,460,43.47826086956522,710,2233,31.795790416480074,66.33504480269747,228.96481789601998,28.971719503571187
Nou_Barris,62,340,18.235294117647058,220,1603,13.72426699937617,18.370950200964682,162.43614420741625,11.309644347077484
Sant_Andreu,52,317,16.40378548895899,199,1543,12.89695398574206,19.84521359773519,142.16588776340268,13.959195071297462
Sant_Marti,90,346,26.011560693641616,404,2505,16.127744510978044,43.93931803871623,242.12624872171415,18.147275758283246
