districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,351,3492,10.051546391752577,1155,19310,5.981356809943035,109.96418826376139,1873.8301855182842,5.868418019605459
Ciutat_Vella,52,517,10.058027079303674,114,1447,7.8783690393918455,12.393057438331017,109.24794119097878,11.343973445381854
Eixample,50,140,35.714285714285715,325,2159,15.05326540064845,33.70285510062941,207.55438362316366,16.238083972160478
Sants_Montjuic,35,490,7.142857142857142,115,2907,3.955968352253182,10.958724920058255,284.6973812855034,3.8492538535394902
Les_Corts,9,231,3.896103896103896,28,1227,2.28198859005705,2.7392948689861667,117.14190588320041,2.3384414384698986
Sarria_Sant_Gervasi,43,548,7.846715328467154,127,2654,4.785229841748304,11.066503835898214,286.6812608650586,3.860211791487563
Gracia,137,337,40.652818991097924,383,1288,29.7360248447205,31.600186576702214,108.13260029331913,29.223551908475287
Horta_Guinardo,101,444,22.74774774774775,278,2233,12.44961934617107,28.044750918103595,228.96481789601998,12.248497902782422
Nou_Barris,8,336,2.380952380952381,21,1603,1.3100436681222707,1.672598934924733,162.43614420741625,1.029696280397407
Sant_Andreu,11,308,3.571428571428571,42,1543,2.7219701879455602,3.192737845453021,142.16588776340268,2.2457833561075384
Sant_Marti,14,342,4.093567251461988,62,2505,2.475049900199601,6.529584402386705,242.12624872171415,2.6967684986072826
