districts,mapped passatges,total passatges,percentage passatges
Barcelona,11,350,3.1428571428571432
Ciutat_Vella,0,28,0.0
Eixample,2,40,5.0
Sants_Montjuic,0,22,0.0
Les_Corts,0,18,0.0
Sarria_Sant_Gervasi,1,36,2.7777777777777777
Gracia,1,27,3.7037037037037033
Horta_Guinardo,7,67,10.44776119402985
Nou_Barris,0,18,0.0
Sant_Andreu,0,20,0.0
Sant_Marti,0,74,0.0
