districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,104,3492,2.978235967926689,220,19310,1.1393060590367685,17.802752785586293,1873.8301855182842,0.9500729000510905
Ciutat_Vella,2,517,0.3868471953578337,3,1447,0.2073255010366275,0.16599591626398125,109.24794119097878,0.1519442054965595
Eixample,7,140,5.0,25,2159,1.1579434923575729,2.73165645524772,207.55438362316366,1.3161160017739366
Sants_Montjuic,2,490,0.40816326530612246,2,2907,0.06879944960440317,0.18612969515333366,284.6973812855034,0.06537808472733263
Les_Corts,5,231,2.1645021645021645,10,1227,0.8149959250203749,1.0152583332139415,117.14190588320041,0.8666909809596517
Sarria_Sant_Gervasi,42,548,7.664233576642336,105,2654,3.9562923888470234,8.550379856055327,286.6812608650586,2.982538806427256
Gracia,49,337,14.540059347181009,100,1288,7.763975155279502,8.135409658297796,108.13260029331913,7.523549453383888
Horta_Guinardo,36,444,8.108108108108109,74,2233,3.3139274518584867,6.900618966939464,228.96481789601998,3.0138337541767
Nou_Barris,4,336,1.1904761904761905,9,1603,0.561447286338116,0.688128230585606,162.43614420741625,0.423629995616572
Sant_Andreu,1,308,0.3246753246753247,2,1543,0.12961762799740764,0.07146237494575168,142.16588776340268,0.05026689318374447
Sant_Marti,1,342,0.29239766081871343,1,2505,0.03992015968063872,0.11107197642657259,242.12624872171415,0.04587357918150884
