districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,947,3492,27.119129438717067,3677,19310,19.04194717762817,353.0779119220671,1873.8301855182842,18.842577873427146
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,97,140,69.28571428571428,917,2159,42.47336729967577,91.10975306158502,207.55438362316366,43.89680982455382
Sants_Montjuic,72,490,14.69387755102041,234,2907,8.04953560371517,22.05251196033917,284.6973812855034,7.745948298071707
Les_Corts,23,231,9.956709956709958,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,113,548,20.62043795620438,322,2654,12.132629992464206,31.248676231110906,286.6812608650586,10.900146084476624
Gracia,219,337,64.98516320474778,783,1288,60.79192546583852,63.53531779119258,108.13260029331913,58.756857431382834
Horta_Guinardo,233,444,52.47747747747747,771,2233,34.52754142409315,76.88709112720062,228.96481789601998,33.58030802885945
Nou_Barris,60,336,17.857142857142858,211,1603,13.162819713038054,18.332641853906686,162.43614420741625,11.286060712262143
Sant_Andreu,84,308,27.27272727272727,285,1543,18.470511989630587,26.99626458019814,142.16588776340268,18.989270214473844
Sant_Marti,82,342,23.976608187134502,356,2505,14.211576846307386,40.398245457102625,242.12624872171415,16.684785590319876
