districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1180,3492,33.79152348224513,4814,19310,24.93008803728638,462.25529316355875,1873.8301855182842,24.66900665471472
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,103,140,73.57142857142858,1129,2159,52.29272811486799,112.81552856468734,207.55438362316366,54.354683623312695
Sants_Montjuic,108,490,22.040816326530614,338,2907,11.627106983144134,30.408726810236143,284.6973812855034,10.68107007972136
Les_Corts,29,231,12.554112554112553,101,1227,8.231458842705788,11.637002252923837,117.14190588320041,9.934106983479365
Sarria_Sant_Gervasi,124,548,22.62773722627737,363,2654,13.677467972871138,34.20779573113186,286.6812608650586,11.93234452363928
Gracia,273,337,81.00890207715133,969,1288,75.23291925465838,80.70697758286823,108.13260029331913,74.63704503909413
Horta_Guinardo,288,444,64.86486486486487,995,2233,44.55888938647559,97.71695472845207,228.96481789601998,42.67771600300111
Nou_Barris,99,336,29.464285714285715,329,1603,20.52401746724891,32.13373752345214,162.43614420741625,19.782381366071007
Sant_Andreu,95,308,30.844155844155846,348,1543,22.55346727154893,33.90797978589952,142.16588776340268,23.85099570603768
Sant_Marti,107,342,31.28654970760234,499,2505,19.920159680638722,52.63231262129381,242.12624872171415,21.73754927405097
