districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1351,3492,38.68843069873998,5497,19310,28.467115484205074,523.6848985310393,1873.8301855182842,27.947297603501504
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,107,140,76.42857142857142,1169,2159,54.14543770264011,116.37836392850078,207.55438362316366,56.07126281649521
Sants_Montjuic,127,490,25.918367346938776,385,2907,13.24389404884761,34.10818106472823,284.6973812855034,11.980503969063024
Les_Corts,42,231,18.181818181818183,137,1227,11.165444172779136,15.070257688075964,117.14190588320041,12.86495859398274
Sarria_Sant_Gervasi,214,548,39.05109489051095,672,2654,25.320271288620948,62.23499078900307,286.6812608650586,21.7087753141623
Gracia,283,337,83.97626112759644,1017,1288,78.95962732919256,84.15042232869443,108.13260029331913,77.82150997981095
Horta_Guinardo,290,444,65.31531531531532,1005,2233,45.006717420510526,98.47027939396548,228.96481789601998,43.00672928654213
Nou_Barris,102,336,30.357142857142854,340,1603,21.210230817217717,32.883387248348185,162.43614420741625,20.243885625824188
Sant_Andreu,114,308,37.01298701298701,434,1543,28.12702527543746,42.64622774808445,142.16588776340268,29.997510949362027
Sant_Marti,122,342,35.67251461988304,617,2505,24.630738522954093,63.35552684215052,242.12624872171415,26.166319090404645
