districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,736,3695,19.918809201623816,3196,28583,11.181471504040863,275.72305706434844,1979.0021367957695,13.9324284667411
Ciutat_Vella,110,566,19.434628975265017,291,2374,12.257792754844145,21.82790741230159,121.06695157036005,18.029616777470395
Eixample,88,156,56.41025641025641,815,4010,20.32418952618454,70.64288036488173,224.64177560734953,31.44690259587253
Sants_Montjuic,54,512,10.546875,250,4154,6.018295618680789,19.758050991622003,300.1012632172371,6.583794676438785
Les_Corts,23,241,9.54356846473029,101,1814,5.567805953693495,9.515444132470764,124.02458958115528,7.672223842550471
Sarria_Sant_Gervasi,86,578,14.878892733564014,268,3548,7.5535512965050735,22.962653480410705,297.3283400630804,7.722995216513503
Gracia,203,357,56.86274509803921,757,1671,45.30221424296828,56.79008876289761,112.35069972633644,50.547160721941886
Horta_Guinardo,175,476,36.76470588235294,664,3010,22.059800664451828,56.84554631358335,238.89499886961826,23.79520148289414
Nou_Barris,56,356,15.730337078651685,219,2164,10.12014787430684,16.583406280131793,169.63296802504587,9.776051479381824
Sant_Andreu,45,325,13.846153846153847,194,2232,8.691756272401435,17.153081806771475,150.1099557177492,11.427011436219665
Sant_Marti,79,355,22.253521126760564,390,3932,9.918616480162768,36.31298277767996,257.00163872662773,14.129475188407662
