districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1036,3577,28.962818003913892,4033,19310,20.88555152770585,384.4243971719304,1873.8301855182842,20.515434116864874
Ciutat_Vella,148,534,27.715355805243448,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,103,141,73.04964539007092,991,2159,45.90088003705419,98.42910653738205,207.55438362316366,47.423284837043106
Sants_Montjuic,97,498,19.477911646586346,287,2907,9.872721018231854,25.868391661961613,284.6973812855034,9.086276644048223
Les_Corts,23,235,9.787234042553191,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,122,564,21.631205673758867,354,2654,13.33835719668425,33.7302953786697,286.6812608650586,11.765783112885991
Gracia,251,347,72.3342939481268,878,1288,68.16770186335404,72.96323376970273,108.13260029331913,67.4757044330605
Horta_Guinardo,236,463,50.9719222462203,805,2233,36.05015673981191,79.67750299545096,228.96481789601998,34.79901572984676
Nou_Barris,60,342,17.543859649122805,211,1603,13.162819713038054,18.332641853906686,162.43614420741625,11.286060712262143
Sant_Andreu,85,314,27.070063694267514,286,1543,18.535320803629293,27.026996787496937,142.16588776340268,19.01088736031824
Sant_Marti,96,344,27.906976744186046,412,2505,16.44710578842315,44.547324432789146,242.12624872171415,18.398387067892525
