districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,792,3492,22.68041237113402,3102,19310,16.064215432418436,299.7328964432363,1873.8301855182842,15.995734232466372
Ciutat_Vella,138,517,26.692456479690524,278,1447,19.212163096060817,26.006564647017697,109.24794119097878,23.80508443775159
Eixample,86,140,61.42857142857143,777,2159,35.98888374247336,78.72572951451691,207.55438362316366,37.93016950075677
Sants_Montjuic,59,490,12.040816326530612,208,2907,7.15514275885793,20.109159616021184,284.6973812855034,7.0633454811637675
Les_Corts,22,231,9.523809523809524,84,1227,6.845965770171149,9.56174397499923,117.14190588320041,8.162530652807572
Sarria_Sant_Gervasi,86,548,15.693430656934307,247,2654,9.306706857573474,23.04125631937434,286.6812608650586,8.037238377509405
Gracia,215,337,63.798219584569736,750,1288,58.22981366459628,61.02755561417881,108.13260029331913,56.43770282841274
Horta_Guinardo,185,444,41.66666666666667,624,2233,27.944469323779668,60.472671486851254,228.96481789601998,26.411337795273752
Nou_Barris,59,336,17.559523809523807,198,1603,12.351840299438553,16.97549544782851,162.43614420741625,10.450565377956977
Sant_Andreu,47,308,15.259740259740258,173,1543,11.21192482177576,18.19971977921728,142.16588776340268,12.801748763744136
Sant_Marti,78,342,22.807017543859647,336,2505,13.41317365269461,38.25315014270365,242.12624872171415,15.798844753370627
